Name,latitude,longitude
Balinese,-8.333333333,115.25
Bambara,12.5,-7.5
Bana,10.41666667,13.58333333
Bao'an,35.75,102.8333333
Baure,-13.08333333,-64.16666667
Bari,5,31.66666667
Basaá,3.916666667,10.5
Batak,10.25,119.0833333
Bau,-5.25,145.6166667
Bawm,22.5,92.25
Bobo Madaré (Northern),12.41666667,-4.333333333
Babole,1.083333333,17.25
Bambam,-3.083333333,119.0833333
Barambu,3.5,27
Bininj Gun-Wok,-12.5,133.75
Bandjalang (Casino),-28.91666667,153
Berber (Chaouia),35,7
Bella Coola,52.5,-126.6666667
Berbice Dutch Creole,5.333333333,-58
Badaga,11.66666667,76.75
Budukh,41.16666667,48.41666667
Badimaya,-27.66666667,118
Budu,2,28
Baham,-3.166666667,132.6666667
Benabena,-6.166666667,145.5
Bengali (Chittagong),22.33333333,91.83333333
Beembe,-3.916666667,14.08333333
Begak-Ida'an,5.25,118.8333333
Beja,18,36
Belhare,26.96666667,87.3
Bemba,-10,28.25
Bengali,24,90
Beothuk,48,-57
Berta,10.33333333,34.66666667
Bété,6.25,-6.25
Bezhta,42.08333333,46.16666667
Biafada,11.41666667,-15.16666667
Berber (Figuig),32.5,-1.5
Bafia,5,11.16666667
Benga,1.166666667,9.416666667
Banggai,-1.416666667,123.1666667
Bagri,29.58333333,74.33333333
Buglere,8.5,-81.25
Bangime,14.91666667,-3.833333333
Bugun,27.5,92.58333333
Bongo,7.5,28.5
Bagiro,4.333333333,20.58333333
Baga Sitemu,10.5,-14.5
Bagvalal,42.58333333,46.16666667
Banggi,7.25,117.1666667
Bhili,22,73
Bahinemo,-4.583333333,142.8333333
Bhojpuri,26,84
Bhumij,21.33333333,86.5
Bira,1,28.75
Bidiya,11.91666667,18.75
Binga,8,25
Biri,-20.5,146.5
Biak,-1,136
Bilua,-7.75,156.6666667
Bima,-8.5,118.5
Binandere,-8.25,148
Nai,-3.716666667,141.2666667
Bilaan,6,125.3333333
Birom,9.666666667,8.833333333
Bisa,11.5,-0.5
Biatah,1.25,110
Bisu,19.75,100
Sama (Southern),4.5,118.5
Baka (in Sudan),4.833333333,29.25
Betta Kurumba,11.5,76.75
Binukid,8.25,124.8333333
