City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Oslo,3.36,11.2,12.32,1.57,2016.66,2800.92,82.09,52.51,88.19,29.39,71.27,35.53
Ottawa,2.39,7.65,9.56,0.8,1020.02,2900.68,87.69,91.85,66.02,33.55,86.11,22.25
Oxford,2.49,7.97,7.97,1.36,1494.67,1693.96,80.94,50.33,66.2,11.48,72.09,24.22
Paris,2.56,8.95,5.11,1.32,2131.21,2045.96,95.92,47.08,83.33,59.18,52.62,53.75
Pattaya,1.14,3.19,10.03,0.87,784.52,341.93,70.69,19.51,91.46,29.86,46.01,45.52
Perth,2.87,11.43,10.08,0.97,2083.14,3358.55,95.38,62.11,80.56,23.53,74.62,50.01
Philadelphia,2.29,7.19,7.85,0.65,1601.73,2185.88,83.31,68.77,54.17,38.64,65.53,68.58
Phoenix,2.7,6.21,6.37,0.62,817.21,2060.68,86.37,80.54,64.9,38.77,82.55,41.41
Portland,2.29,6.54,7.85,0.68,1046.03,1982.23,84.23,72.6,72.77,31.98,88.76,39.22
Porto,0.68,4.26,3.41,1.37,596.74,664.94,76.17,31.28,61.51,67.64,58.95,37.51
Porto Alegre,1.14,5.2,4.71,0.89,487.69,306.89,70.46,19.07,51.01,86.16,31.87,76.46
Prague,1.32,5.08,3.29,1.18,821.94,723.3,76.64,35.32,64.15,41.53,58.85,34.54
Pretoria,1.06,3.63,3.25,0.84,377.8,952.6,80.56,46.74,71.11,70.13,61.44,68.06
Pune,0.84,2.41,5.43,0.89,301.69,362.03,79.2,37.96,66.62,79.24,43.84,41.37
Quito,1.22,2.94,6.54,0.29,310.54,196.13,67.15,14.24,32.41,14.76,46.43,48.36
Regina,2.65,7.65,9.56,0.8,956.27,1912.54,82.07,60.8,60.24,84.07,79.98,41.56
Rio De Janeiro,1.46,6.5,7.8,0.94,1300.51,650.26,73.44,22.13,61.67,84.51,21.32,67.93
Riyadh,1.69,79.49,17.43,0.08,610.14,1394.6,83.22,63.22,54.59,11.48,67.72,32.39
Rochester,1.96,6.54,11.44,0.68,719.15,1536.36,82.07,60.78,68.6,31.6,78.05,30.21
Rome,1.02,6.82,4.26,1.53,2131.21,1270.2,79.07,32.72,61.64,19.84,26.8,62.34
Rotterdam,2.09,8.1,3.84,1.46,1278.72,1704.96,80.68,50.9,63.26,20.36,67.77,74.27
Saint Louis,1.96,6.54,6.54,0.61,980.65,2144.36,85.25,80.4,77.29,31.33,87.51,78.13
Saint Petersburg,2.07,6.2,6.2,0.62,1033.6,620.16,73.1,24.82,46.34,77.98,25.97,56.96
San Antonio,2.62,5.23,7.52,0.59,980.65,1964.58,83.76,74.78,60.97,59.19,84.88,51.41
San Diego,2.45,6.54,6.54,0.67,1569.05,2341.8,83.29,71.37,67.22,32.64,80.18,39.55
San Francisco,2.29,7.85,9.48,0.69,2484.32,2667.38,85.38,63.54,75.46,17.06,79.08,32.25
Santiago,1.64,5.34,4.11,1.09,547.6,616.05,74.6,29.96,66.11,92.42,39.13,42.33
Santo Domingo,0.8,3.27,5,1.01,437.44,556.74,74.6,28.82,62.5,18.59,41.88,62.19
Sao Paulo,1.3,6.5,8.13,0.88,1219.23,650.26,75.4,24.24,63.79,72.04,30.57,66.31
Seattle,2.45,7.11,7.52,0.66,1634.42,2373.83,85.38,78.46,75.46,32.9,84.1,42.03
Seoul,2.59,5.25,11.67,1.17,1458.2,1458.2,82.43,54.3,75,85.59,60.28,21.35
Shanghai,2.96,8.46,8.46,0.85,1533.38,592.2,75.69,26.74,78.7,61.74,31.66,16.51
Singapore,2.64,5.27,15.82,1.11,3164.42,1582.21,81.07,33.14,58.82,18.48,42.65,19.96
